date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:06	3929/3929	---M-Z	200	added ('OK')	text/html	etag:%22f59-643740c2-6e90b2105c561c30;gz%22	https://bnbfaucetminer.online/	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/index.html	(from )
16:53:06	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-626c3301-d19dba730edd95ca;gz%22	https://bnbfaucetminer.online/robots.txt		(from )
16:53:07	290/290	---M--	200	added ('OK')	application/json	etag:%22122-640b9dd4-62bbbae64b361adc;;;%22	https://bnbfaucetminer.online/manifest.json	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/manifest.json	(from https://bnbfaucetminer.online/)
16:53:09	27407/27407	---M-Z	200	added ('OK')	text/css	etag:%226b0f-640b9dd4-9e4b3353d19a211d;gz%22	https://bnbfaucetminer.online/static/css/main.562af2e3.chunk.css	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/static/css/main.562af2e3.chunk.css	(from https://bnbfaucetminer.online/)
16:53:09	641622/641622	---M-Z	200	added ('OK')	text/css	etag:%229ca56-640b9dd6-2c8e2c2367c7f27a;gz%22	https://bnbfaucetminer.online/static/css/2.c0aa52ac.chunk.css	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/static/css/2.c0aa52ac.chunk.css	(from https://bnbfaucetminer.online/)
16:53:10	124647/124647	---M--	200	added ('OK')	image/png	etag:%221e6e7-640b9dd6-ec5255da96ed4197;;;%22	https://bnbfaucetminer.online/static/media/twitter1.png	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/static/media/twitter1.png	(from https://bnbfaucetminer.online/)
16:53:11	5466696/5466696	---MCZ	200	added ('OK')	application/x-javascript	etag:%22536a48-640b9de6-f0fb20cc1cdba87;gz%22	https://bnbfaucetminer.online/static/js/2.a3fa520d.chunk.js	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/static/js/2.a3fa520d.chunk.js	(from https://bnbfaucetminer.online/)
16:53:11	184879/184879	---M-Z	200	added ('OK')	application/x-javascript	etag:%222d22f-6437408c-5a508011b382657a;gz%22	https://bnbfaucetminer.online/static/js/main.ffad696d312.chunk.js	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/static/js/main.ffad696d312.chunk.js	(from https://bnbfaucetminer.online/)
16:53:21	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-626c3301-d19dba730edd95ca;gz%22	https://bnbfaucetminer.online/$&/	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/$&/index.html	(from https://bnbfaucetminer.online/static/js/2.a3fa520d.chunk.js)
16:53:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-626c3301-d19dba730edd95ca;gz%22	https://bnbfaucetminer.online/e	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/e.6.delayed	(from https://bnbfaucetminer.online/static/js/2.a3fa520d.chunk.js)
16:53:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-626c3301-d19dba730edd95ca;gz%22	https://bnbfaucetminer.online/POST	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/POST	(from https://bnbfaucetminer.online/static/js/2.a3fa520d.chunk.js)
16:53:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-626c3301-d19dba730edd95ca;gz%22	https://bnbfaucetminer.online/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from https://bnbfaucetminer.online/static/js/2.a3fa520d.chunk.js)
16:53:25	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-626c3301-d19dba730edd95ca;gz%22	https://bnbfaucetminer.online/static/images/wallet/	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/static/images/wallet/index.html	(from https://bnbfaucetminer.online/static/js/main.ffad696d312.chunk.js)
16:53:25	3929/3929	---M-Z	200	added ('OK')	text/html	etag:%22f59-643740c2-6e90b2105c561c30;gz%22	https://bnbfaucetminer.online/?ref=	C:/My%20Web%20Sites/facute/bnbfaucetminer.online/index2a73.html	(from https://bnbfaucetminer.online/static/js/main.ffad696d312.chunk.js)
